Date,SPY US Equity,IWM US Equity,EFA US Equity,EEM US Equity,DBC US Equity,GLD US Equity,VNQ US Equity,TLT US Equity,SHY US Equity,FDN US Equity,IBB US Equity,IEZ US Equity,IGV US Equity,IHE US Equity,IHI US Equity,ITA US Equity,ITB US Equity,IYJ US Equity,IYT US Equity,IYW US Equity,IYZ US Equity,KBE US Equity,KCE US Equity,KIE US Equity,PBJ US Equity,PBS US Equity,SMH US Equity,VNQ US Equity,XLB US Equity,XLP US Equity,XLU US Equity,XOP US Equity,XRT US Equity
20101011,94.4776,59.596,41.2391,36.9789,24.3108,132.292,34.9706,78.4215,77.0261,29.7366,28.6197,38.3724,49.9222,53.6702,8.5426,24.0713,11.2809,25.4845,74.0903,13.2763,16.5173,19.1439,25.7851,10.9966,14.5763,12.0103,NA,34.9706,27.2806,21.0738,21.6735,154.0579,18.918
20101012,94.7692,59.7507,41.152,36.8268,24.4274,131.96,35.2182,77.6466,76.9713,29.9712,28.7897,38.6253,50.6114,54.5731,8.5347,24.094,11.2714,25.4968,73.7805,13.3828,16.5551,19.3962,26.0068,11.0486,14.62,12.0291,NA,35.2182,27.3524,21.1261,21.5851,153.8488,19.1232
20101013,95.5062,60.6617,41.6166,37.5032,24.544,134.07,35.5832,77.5263,76.9805,30.3256,28.8943,39.4682,51.3782,55.0462,8.5648,24.4518,11.2999,25.8448,75.5863,13.5118,16.6382,19.2579,26.1674,11.1524,14.7862,12.2266,NA,35.5832,27.7914,21.3053,21.6667,156.2189,19.0839
20101014,95.1337,60.6188,41.907,37.4391,24.5052,134.75,35.492,76.3662,76.944,30.3854,28.8093,39.2238,51.2423,54.9859,8.5236,24.3165,11.2145,25.7374,75.1525,13.5005,16.5626,18.7532,25.9762,11.2071,14.865,12.1984,NA,35.492,27.528,21.3128,21.6327,155.9052,19.0141
20101015,95.3281,60.4125,41.7691,37.3951,24.2331,133.68,35.4463,75.4348,76.9713,31.0343,29.1363,39.6453,51.5529,55.0891,8.5505,24.2685,11.0627,25.587,74.9534,13.7768,16.54,18.2811,26.0374,11.1196,14.9,12.1795,NA,35.4463,27.6078,21.365,21.6973,155.8355,19.2236
20101018,95.7978,60.9196,41.8635,37.4111,24.476,134.28,35.9025,76.0442,76.9896,31.0243,29.2736,39.3418,51.3879,55.3454,8.6376,24.3645,11.0722,25.6343,75.2234,13.813,16.5626,18.6962,26.565,11.1005,14.9437,12.1608,NA,35.9025,27.7276,21.4397,21.7008,157.0554,19.2629
20101019,94.5424,59.7335,40.9414,36.2265,23.757,130.11,35.4594,76.5031,77.0261,30.4154,28.8159,38.2122,50.524,54.2833,8.4698,23.9282,11.0247,25.2519,74.2187,13.5911,16.3285,18.6311,26.3127,11.1264,14.7687,11.9257,NA,35.4594,27.0172,21.1784,21.7416,152.9077,18.6997
20101020,95.4657,60.3437,41.711,36.8028,24.3205,131.32,36.2349,76.6686,77.0352,30.7847,28.8322,38.8866,50.854,54.5488,8.5173,24.3296,10.982,25.587,75.8518,13.6681,16.5626,18.4928,26.5956,11.2563,14.8825,12.0949,NA,36.2349,27.5759,21.365,21.9184,153.9185,18.8744
20101021,95.6763,60.0515,41.4859,36.8028,24.0193,129.47,36.1958,75.7583,77.0443,31.164,28.7995,38.6,50.9899,54.5215,8.5743,24.6656,11.0722,25.7503,75.6925,13.676,16.5135,18.5294,26.4656,11.2563,14.8912,12.0855,NA,36.1958,27.5679,21.4397,21.8232,152.2803,18.7652
20101022,95.8521,60.4383,41.5948,36.8428,24.2185,129.73,36.2154,76.2699,77.0261,31.6232,28.8518,39.3671,51.9412,54.4441,8.6107,24.7572,11.0342,25.7761,75.9758,13.7858,16.5626,18.566,26.5574,11.2262,15.1362,12.0855,NA,36.2154,27.3684,21.5144,21.6803,152.6986,18.9224
